"module name","license","repository"
"@babel/code-frame@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.19.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.19.1","MIT","https://github.com/babel/babel"
"@babel/highlight@7.18.6","MIT","https://github.com/babel/babel"
"@babel/runtime@7.21.0","MIT","https://github.com/babel/babel"
"@babel/runtime@7.7.2","MIT","https://github.com/babel/babel"
"@babel/types@7.21.2","MIT","https://github.com/babel/babel"
"@emotion/babel-plugin@11.10.6","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.10.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.9.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/memoize@0.8.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.10.6","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.1.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.2.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/unitless@0.8.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.0.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.2.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.3.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@floating-ui/core@1.2.1","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.2.1","MIT","https://github.com/floating-ui/floating-ui"
"@fortawesome/fontawesome-common-types@6.3.0","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/fontawesome-svg-core@6.3.0","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/react-fontawesome@0.2.0","MIT","https://github.com/FortAwesome/react-fontawesome"
"@popperjs/core@2.11.6","MIT","https://github.com/popperjs/popper-core"
"@szhsin/react-menu@3.5.0","MIT","https://github.com/szhsin/react-menu"
"@tippyjs/react@4.2.6","MIT","https://github.com/atomiks/tippyjs-react"
"@types/lodash@4.14.191","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/parse-json@4.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@16.14.35","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"babel-plugin-macros@3.1.0","MIT","https://github.com/kentcdodds/babel-plugin-macros"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"big-integer@1.6.51","Unlicense","https://github.com/peterolson/BigInteger.js"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"broadcast-channel@3.7.0","MIT","https://github.com/pubkey/broadcast-channel"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"classnames@2.3.2","MIT","https://github.com/JedWatson/classnames"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
